Geração, Best Fitness, Média, Mediana, Desvio Padrão
0,0.06644324472708972,0.009213295511735371,0.026991352884659377,0.020394995455814656
1,0.06644324472708972,0.009087477695932654,0.023235119183785513,0.019364405457965327
2,0.06644324472708972,0.008910188955483369,0.025550452944136888,0.021942237281024693
3,0.06644324472708972,0.009064601729423067,0.02578550350002288,0.01968785422731795
4,0.06644324472708972,0.009138948620579219,0.033930777325342,0.02471448055018094
5,0.06644324472708972,0.009110353662442238,0.03347468774305715,0.021901695566014446
6,0.06644324472708972,0.008933064921992953,0.030910005947751295,0.022443760624402016
7,0.06644324472708972,0.00898453584663952,0.024223646886580956,0.020629570687076958
8,0.06644324472708972,0.00909319668756005,0.029055908862149427,0.022873362175608748
9,0.06644324472708972,0.008875875005718991,0.03041159582742371,0.021745516220277566
10,0.06644324472708972,0.009081758704305257,0.02689870522029556,0.021763737596172117
11,0.06644324472708972,0.009064601729423067,0.03502396257491879,0.022965685134610305
12,0.06644324472708972,0.009041725762913483,0.037558333714599434,0.024018064675274797
13,0.06644896371871711,0.008933064921992953,0.029609507251681384,0.02419592018567491
14,0.06644896371871711,0.008915907947110766,0.03114820194903235,0.024174776456926148
15,0.06644896371871711,0.008881593997346388,0.02409639932287139,0.022175329851149037
16,0.06644896371871711,0.009127510637324428,0.02780916868737704,0.022846016804562743
17,0.06644896371871711,0.009087477695932654,0.027013371002424853,0.02087708415237554
18,0.06644896371871711,0.008870156014091595,0.02894095713043876,0.0239228223540027
19,0.06644896371871711,0.008995973829894314,0.026929015875920753,0.02222119500003878
20,0.06646040170197191,0.009150386603834012,0.03272864528526331,0.023240277373092512
21,0.06646040170197191,0.008921626938738162,0.029778503454270945,0.02332080455800633
22,0.06646040170197191,0.00909319668756005,0.02408010019673331,0.020411208146617076
23,0.06646040170197191,0.008915907947110766,0.028601249027771426,0.02169101817109812
24,0.06646040170197191,0.0091675435787162,0.027093436885208398,0.020741151581642487
25,0.06646040170197191,0.00907603971267786,0.023042961065105002,0.021820577760394314
26,0.06657478153451983,0.008933064921992953,0.02738253191197328,0.023707159913281255
27,0.06657478153451983,0.009138948620579219,0.030688395022189684,0.022432113626839386
28,0.06657478153451983,0.008898750972228576,0.02781517362858581,0.024075156548658348
29,0.06657478153451983,0.009144667612206616,0.026243022830214575,0.02210784594163782
30,0.06657478153451983,0.009053163746168276,0.026211568376263893,0.021840031427146536
31,0.06657478153451983,0.008893031980601181,0.02897412728187767,0.023274828829451026
32,0.06657478153451983,0.009053163746168276,0.028783684860685367,0.023605586208388953
33,0.06657478153451983,0.008893031980601181,0.035041405499382346,0.02334695386471232
34,0.06657478153451983,0.009036006771286086,0.028021915175916186,0.021380827900012066
35,0.06657478153451983,0.009116072654069635,0.026605892848972874,0.021677858215009435
36,0.06657478153451983,0.009270485428009333,0.027184654801665376,0.02239970354790664
37,0.06657478153451983,0.008990254838266917,0.024708903326165536,0.021142563614835855
38,0.06657478153451983,0.008910188955483369,0.029090508761495177,0.023002131648061648
39,0.06657478153451983,0.009144667612206616,0.02804879443656495,0.02171500800857621
40,0.06657478153451983,0.008927345930365559,0.02805422747861097,0.02358649386983547
41,0.06657478153451983,0.009116072654069635,0.026934448917966786,0.02175804162446252
42,0.06657478153451983,0.009116072654069635,0.027459452349361764,0.02050109268586413
43,0.06657478153451983,0.008910188955483369,0.02920231504781077,0.023295945405714235
44,0.06657478153451983,0.008881593997346388,0.026602175504415054,0.022320027922552693
45,0.06657478153451983,0.008961659880129936,0.03354932058379466,0.02134346800627031
46,0.06657478153451983,0.008910188955483369,0.027653898064693233,0.023370324594595003
47,0.06657478153451983,0.009001692821521709,0.023982305439904837,0.01963860592934733
48,0.06657478153451983,0.009058882737795673,0.024970261243537538,0.021426833104675004
49,0.06657478153451983,0.0088644370224642,0.02905848240838176,0.02281857990179298
50,0.06657478153451983,0.008898750972228576,0.02203956398407833,0.021927529148337132
51,0.06657478153451983,0.009024568788031295,0.026748867639657774,0.02098157757690564
52,0.06657478153451983,0.009098915679187445,0.025780928306720956,0.021925111715822627
53,0.06657478153451983,0.008898750972228576,0.032946824815848465,0.023398379498530963
54,0.06657478153451983,0.009138948620579219,0.023688921169419407,0.02139201361404922
55,0.06657478153451983,0.008881593997346388,0.027911824587088806,0.0224495803866684
56,0.06657478153451983,0.009013130804776502,0.027818605023562242,0.02305224705354183
57,0.06657478153451983,0.008995973829894314,0.025494692775769778,0.02137119167332564
58,0.06657478153451983,0.00893878391362035,0.026544985588141095,0.02254412285234473
59,0.06657478153451983,0.008893031980601181,0.025376309649082673,0.02216709599054649
60,0.06657478153451983,0.008898750972228576,0.02351992496682985,0.02135796579876098
61,0.06657478153451983,0.008875875005718991,0.028373633161001055,0.019863145957885457
62,0.06657478153451983,0.009127510637324428,0.029277805737292405,0.02200470252444126
63,0.06657478153451983,0.008967378871757331,0.026016550761769685,0.02184278822527309
64,0.06657478153451983,0.008927345930365559,0.02419076268472343,0.021024792623072535
65,0.06657478153451983,0.009144667612206616,0.03105955757880771,0.02267244526877166
66,0.06657478153451983,0.008933064921992953,0.024653715056961158,0.02164789960339999
67,0.06657478153451983,0.008944502905247747,0.02880284348263714,0.021891923705738316
